z (m),qc (MPa),fs (MPa)
-16.483775,7.838258926,0.61487311
-16.503775,7.849297909,0.638633345
-16.523775,7.860336891,0.710481859
-16.543775,7.871375874,0.782330374
-16.563775,7.882414856,0.794648642
-16.583775,7.893453839,0.795273761
-16.603775,7.940317141,0.795898881
-16.623775,8.137082766,0.796524
-16.643775,8.333848391,0.797149119
-16.663775,8.504333024,0.797774239
-16.683775,8.641633901,0.798399358
-16.703775,8.778934777,0.799024478
-16.723775,8.916235654,0.799649597
-16.743775,9.05353653,0.800274717
-16.763775,9.190837406,0.800899836
-16.783775,9.700618593,0.801524955
-16.803775,10.24104362,0.802150075
-16.823775,10.67178565,0.802775194
-16.843775,10.71074689,0.803400314
-16.863775,10.74970813,0.804025433
-16.883775,10.78866937,0.804650553
-16.903775,10.81783,0.805275672
-16.923775,10.6937085,0.805900792
-16.943775,10.56958701,0.806525911
-16.963775,10.44546552,0.80715103
-16.983775,10.32134403,0.80777615
-17.003775,10.19722254,0.773577899
-17.023775,10.07310105,0.680819013
-17.043775,9.950940396,0.662196199
-17.063775,9.853816239,0.643573386
-17.083775,9.756692081,0.624950572
-17.103775,9.659567923,0.606327758
-17.123775,9.562443765,0.587704944
-17.143775,9.465319607,0.56908213
-17.163775,9.444505368,0.550459317
-17.183775,9.50305823,0.531836503
-17.203775,9.561611091,0.513213689
-17.223775,9.620163952,0.494590875
-17.243775,9.678716813,0.475968061
-17.263775,9.737269675,0.457345247
-17.283775,9.95877453,0.438722434
-17.303775,10.18872693,0.42009962
-17.323775,10.41867932,0.402772802
-17.343775,10.64863172,0.401629132
-17.363775,10.87858412,0.400485461
-17.383775,11.10853651,0.399341791
-17.403775,11.33848891,0.39819812
-17.423775,11.56844131,0.39705445
-17.443775,11.4973715,0.395910779
-17.463775,11.30416077,0.394767109
-17.483775,11.11095004,0.393623439
-17.503775,10.91773932,0.392479768
-17.523775,10.72452859,0.391336098
-17.543775,10.53131786,0.390192427
-17.563775,10.33810713,0.389048757
-17.583775,10.1448964,0.387905086
-17.603775,10.00287474,0.386761416
-17.623775,9.981791502,0.385617745
-17.643775,9.960708267,0.384474075
-17.663775,9.939625033,0.383330404
-17.683775,9.918541799,0.382186734
-17.703775,9.897458565,0.381043063
-17.723775,9.876375331,0.379899393
-17.743775,9.855292096,0.378755722
-17.763775,9.834208862,0.377612052
-17.783775,9.813125628,0.376468382
-17.803775,9.792042394,0.375324711
-17.823775,9.770959159,0.374181041
-17.843775,9.749875925,0.37303737
-17.863775,9.728792691,0.3718937
-17.883775,9.707709457,0.399443038
-17.903775,9.686626222,0.487608879
-17.923775,9.665542988,0.57577472
-17.943775,9.644459754,0.663940561
-17.963775,9.771582984,0.752106402
-17.983775,10.41530354,0.809190222
-18.003775,10.44079596,0.807445338
-18.023775,10.37959707,0.805700454
-18.043775,10.31839817,0.803955569
-18.063775,10.25719927,0.802210685
-18.083775,10.19600037,0.800465801
-18.103775,10.13480147,0.798720917
-18.123775,10.07360257,0.796976033
-18.143775,10.01240368,0.814821142
-18.163775,9.951204779,0.931169155
-18.183775,9.917333588,1.047517168
-18.203775,10.07441741,1.16386518
-18.223775,10.23150123,1.183968295
-18.243775,10.38858505,1.161822134
-18.263775,10.54566887,1.139675973
-18.283775,10.47004751,1.117529811
-18.303775,10.39225175,1.09538365
-18.323775,10.31445599,1.073237489
-18.343775,10.23666023,1.051091328
-18.363775,10.34063628,1.028945167
-18.383775,10.48782381,1.006799006
-18.403775,10.63501134,0.984652844
-18.423775,10.78219887,0.962506683
-18.443775,10.9293864,0.940360522
-18.463775,10.98592655,0.918214361
-18.483775,10.82336324,0.8960682
-18.503775,10.66079992,0.873922039
-18.523775,10.49823661,0.851775878
-18.543775,10.33567329,0.829629716
-18.563775,10.17310997,0.807483555
-18.583775,10.01054666,0.785337394
-18.603775,9.655313082,0.763793847
-18.623775,8.832352043,0.74357187
-18.643775,8.573079017,0.723349893
-18.663775,8.418192261,0.703127917
-18.683775,8.263305505,0.68290594
-18.703775,8.108418748,0.664296681
-18.723775,7.953531992,0.668745159
-18.743775,7.846173245,0.673193637
-18.763775,7.885134486,0.677642115
-18.783775,7.924095726,0.676303825
-18.803775,7.963056966,0.674046698
-18.823775,8.002018207,0.671789571
-18.843775,8.040979447,0.669532445
-18.863775,8.079940687,0.667275318
-18.883775,8.118901928,0.665018191
-18.903775,8.157863168,0.662761064
-18.923775,8.196824408,0.660503937
-18.943775,8.235785649,0.65824681
-18.963775,8.264634229,0.656377312
-18.983775,8.238563398,0.667241591
-19.003775,8.212492567,0.678105871
-19.023775,8.186421737,0.68897015
-19.043775,8.160350906,0.69983443
-19.063775,8.134280075,0.710698709
-19.083775,8.108209245,0.721562989
-19.103775,8.082138414,0.717352312
-19.123775,8.056067584,0.708451482
-19.143775,8.146532851,0.699550652
-19.163775,8.264089271,0.690649822
-19.183775,8.382954641,0.681748992
-19.203775,8.52684555,0.672848162
-19.223775,8.670736459,0.663947332
-19.243775,8.814627368,0.655046502
-19.263775,8.958518277,0.646145672
-19.283775,9.102409186,0.637244842
-19.303775,9.246300095,0.628344012
-19.323775,9.390191004,0.619443182
-19.343775,9.534081914,0.610542353
-19.363775,9.677972823,0.601641523
-19.383775,9.821863732,0.592740693
-19.403775,9.965754641,0.583839863
-19.423775,10.10964555,0.574939033
-19.443775,10.25353646,0.566038203
-19.463775,10.39742737,0.557137373
-19.483775,10.54131828,0.548236543
-19.503775,10.68520919,0.539335713
-19.523775,11.33543971,0.530434883
-19.543775,12.30645318,0.521534053
-19.563775,12.48335854,0.528550308
-19.583775,12.66026391,0.578626349
-19.603775,12.83716927,0.62870239
-19.623775,13.01407464,0.67877843
-19.643775,13.19098001,0.728854471
-19.663775,13.13472587,0.778930512
-19.683775,12.9688744,0.829006553
-19.703775,12.80302293,0.879082593
-19.723775,12.63717147,0.929158634
-19.743775,12.47132,0.979234675
